,BenchID,Latitude,Longitude
0,7,40.71114,-73.949278
1,0,40.826576,-73.950328
2,80,40.860844,-73.921587
3,518,40.868291483,-73.9191520258
4,260,40.8623611107,-73.8971666671
5,339,40.685666,-73.84678000000001
6,1123,40.713685999999996,-73.830505
7,1673,40.596609,-73.976659
8,242,40.774536,-73.95575
9,1885,40.833128,-73.945549
10,1077,40.738821,-73.701392
11,1427,40.821174,-73.818503
12,1494,40.807383,-73.939433
13,1983,40.704159999999995,-73.986572
14,50,40.895865,-73.89229399999999
15,1837,40.776381,-73.783798
16,1593,40.845851,-73.936279
17,2460,40.773068140599996,-73.9071402614
18,975,40.789567,-73.979448
19,0,40.683049,-73.967824
20,426,40.736402000000005,-73.87812199999999
21,0,40.797755,-73.941699
22,234,40.652749,-73.95268100000001
23,445,40.780822,-73.976855
24,440,40.610865000000004,-74.00863299999999
25,77,40.869007,-73.89749
26,576,40.755545,-73.738834
27,330,40.751508,-73.826092
28,202,40.698279,-73.752654
29,1852,40.602996999999995,-73.75318299999999
30,291,40.6107514906,-73.9846354442
31,23,40.8523100475,-73.82609363569999
32,104,40.795402,-73.934005
33,970,40.7432790396,-73.7191306319
34,1972,40.82935,-73.94833100000001
35,1219,40.7647622102,-73.9582291646
36,776,40.854515,-73.910247
37,527,40.7634723206,-73.9216437416
38,1989,40.667545000000004,-73.991046
39,1475,40.81755,-73.953041
40,1801,40.744783,-73.997293
41,156,40.651346000000004,-73.938811
42,9012,40.846299,-73.938407
43,1453,40.761389,-73.966173
44,164,40.708085,-74.013551
45,249,40.715869,-73.986476
46,390,40.649111,-74.009845
47,1441,40.682663,-73.955338
48,700,40.737315,-73.979576
49,283,40.633942,-74.029709
50,98,40.6920279312,-73.9912409753
51,104,40.713701,-73.779427
52,470,40.874064000000004,-73.88393
53,539,40.772633,-73.989006
54,36,40.669914,-73.90925899999999
55,649,40.878617999999996,-73.871504
56,661,40.743509,-73.929076
57,2058,40.726615,-74.005617
58,2450,40.8229323975,-73.9418324656
59,251,40.666396999999996,-73.988606
60,308,40.630629,-74.105267
61,2030,40.721621999999996,-73.844356
62,1616,40.509037,-74.244118
63,533,40.753211,-73.78044399999999
64,56,40.700485,-73.94395899999999
65,252,40.67487,-73.981542
66,1800,40.688318,-74.001125
67,1053,40.86766,-73.88299
68,603,40.768044,-73.955812
69,412,40.659027763400005,-73.9958515233
70,0,40.749534066399995,-73.86257496350001
71,1395,40.60223,-74.09135500000001
72,1982,40.815864000000005,-73.907225
73,675,40.816978000000006,-73.888199
74,0,40.744890000000005,-73.991342
75,47,40.83804,-73.94195699999999
76,1730,40.667545000000004,-73.991046
77,2231,40.651771999999994,-73.930237
78,1163,40.881376,-73.878377
79,792,40.756081,-73.88049000000001
80,0,40.6403819599,-73.9484666045
81,783,40.849532,-73.916077
82,491,40.660582,-73.95062800000001
83,676,40.72814,-73.863582
84,622,40.616996,-73.985354
85,816,40.757360999999996,-73.86833100000001
86,1943,40.670757,-73.925358
87,515,40.750049,-73.88136300000001
88,596,40.677799,-73.972899
89,234,40.698721,-73.939564
90,519,40.880109294499995,-73.9070992463
91,1296,40.733847999999995,-73.871578
92,301,40.6522893436,-73.9563282661
93,1302,40.822443,-73.893902
94,349,40.78784,-73.974917
95,2032,40.605507,-74.008831
96,44,40.8566273929,-73.8668362205
97,0,40.689269,-73.985973
98,340,40.69335,-73.85200999999999
99,1170,40.767666999999996,-73.918368
100,536,40.906393,-73.90421500000001
101,634,40.625377,-74.13531400000001
102,1378,40.637155,-73.989919
103,1897,40.742293,-73.974594
104,1027,40.81172,-73.95179499999999
105,1229,40.7030511453,-73.9494893255
106,466,40.794264,-73.96870600000001
107,262,40.865365000000004,-73.87
108,2019,40.825727,-73.94880400000001
109,1831,40.731862,-73.982042
110,244,40.787019,-73.943742
111,500,40.791709000000004,-73.970802
112,18,40.644098,-73.970178
113,1692,40.818686,-73.847966
114,399,40.749534066399995,-73.86257496350001
115,352,40.6948,-73.954169
116,1243,40.743132,-73.918423
117,401,40.81538,-73.81166999999999
118,1079,40.8482516811,-73.900637654
119,1501,40.552523,-74.169464
120,9011,40.846299,-73.938407
121,486,40.712892,-73.90597199999999
122,0,40.756877,-73.930358
123,291,40.66479,-73.950982
124,0,40.606369,-73.989235
125,121,40.6923811323,-73.767669788
126,950,40.633590000000005,-74.023948
127,2161,40.821828000000004,-73.90350600000001
128,402,40.7157621893,-73.9963782661
129,792,40.74909,-73.89064
130,986,40.655226,-73.961019
131,1781,40.765099,-73.931797
132,721,40.713273,-73.991339
133,636,40.663475,-73.95777700000001
134,1046,40.687184,-73.974763
135,467,40.669458,-73.912205
136,105,40.6826896874,-73.9617526864
137,1895,40.861903000000005,-73.893336
138,1245,40.813728000000005,-73.908886
139,586,40.681001,-73.980624
140,1525,40.839768,-73.94072299999999
141,1275,40.63621,-73.919026
142,108,40.688886,-73.933245
143,1718,40.770614,-73.95705600000001
144,556,40.622187,-73.93727
145,2380,40.679559999999995,-73.8106
146,222,40.793763,-73.945181
147,1440,40.739792,-73.87835
148,1097,40.751876,-73.70281700000001
149,53,40.802079,-73.936989
150,1594,40.806172,-73.96522900000001
151,2339,40.571985999999995,-74.10821999999999
152,0,40.842959,-73.848941
153,184,40.743148,-73.91855699999999
154,1484,40.861415,-73.85592
155,440,40.792464,-73.971538
156,650,40.834008000000004,-73.82691700000001
157,725,40.823992,-73.85875
158,3240,40.656126,-73.75320699999999
159,35,40.655867,-73.90997800000001
160,1345,40.59377,-74.08058
161,1984,40.832144,-73.914748
162,1179,40.748732000000004,-73.873642
163,1476,40.850626,-73.934377
164,4444,40.771654,-73.93401800000001
165,131,40.672022,-73.82040500000001
166,1901,40.7091483368,-73.95909361310001
167,1581,40.67438,-73.95144300000001
168,1926,40.612279,-74.00093299999999
169,223,40.846979,-73.93624200000001
170,875,40.884671000000004,-73.831621
