,cartodb_id,dist_sub,dist_wifi,dist_fountains,dist_shootings,dist_walkways
0,1,2280.601083,2243.7472629999997,217.7970761,3090.79803031,45.45265439
1,2,73.98045585,62.67637191,774.45472494,1800.84403135,29.23559334
2,3,181.04938700000002,146.79470880000002,253.64687408,4782.84931725,1419.415133
3,4,119.6396331,31.29143431,113.29586833,7030.53004458,206.8888811
4,5,293.08317969999996,3341.733155,133.85144537,7139.01633412,1254.34330286
5,6,254.20029559999998,185.71095649999998,360.38110753,1247.33155304,62.50979325
6,7,349.1595003,145.7323635,299.61403025,1885.87846824,72.94526952
7,8,262.9611972,11.48124098,431.43077171,6949.19150537,309.58205328
8,9,5659.531907,6578.450964,90.07950978,2432.91263018,10.23573768
9,10,58.81506442,194.4440299,161.82671222,2694.85052718,103.99088348
10,11,807.8896167,277.97722400000004,274.00717016,5443.98976718,42.58944118
11,12,830.0050709,429.9249893,336.13439435,225.12582664,304.71980843
12,13,243.873893,272.19930710000006,100.55810303,2779.0007171,272.98321222
13,14,1372.381917,7949.706768999999,30.71418587,975.85068819,1078.57283447
14,15,53.62712088,32.23715227,610.61542775,2841.13888825,93.06590667
15,16,307.3848945,158.8380365,378.34051051,7897.66427646,21.84404523
16,17,15.65343613,39.55422094,354.90790848,5042.98202348,49.37204367
17,18,296.78655539999994,756.7618329,743.47222257,2817.09599841,305.04566401
18,19,30.47506287,1159.607325,415.73904599,4741.31561988,74.20027393
19,20,24.82371694,97.95474854,79.04820349,3202.12448187,220.97809775
20,21,610.8950419,1006.898533,148.20551629,5395.08603401,143.79941674
21,22,41.82018541,43.35330192,305.14997376,638.39987436,1227.23101727
22,23,194.0479603,4685.72765,195.14854085,2197.48674757,909.88371871
23,24,308.3293667,84.98084824,349.04866055,213.24229848,109.55123293
24,25,103.0526394,42.30619086,168.12607701,6474.21993422,65.17975426
25,26,7389.410678,8477.267029999999,516.95189594,1987.73126419,6486.94984341
26,27,2916.488922,6136.175524,266.46893516,1982.75650098,3186.77529224
27,28,353.7625918,409.69215310000004,692.35756382,2018.61042925,224.59630603
28,29,308.7934899,715.155455,113.36364251,2207.37440321,476.39756911
29,30,804.4880923999999,3128.124003,275.69747739999997,679.36285248,2809.56992143
30,31,4183.102431,7793.121234,551.79371274,2758.94876984,1792.75604891
31,32,308.31786150000005,93.61877117,591.21841535,2320.71465796,286.67498195
32,33,456.15457360000005,652.5996984,576.33778556,2942.36416588,886.27054276
33,34,251.5617048,299.18073019999997,753.68180611,4476.16278887,268.64713281
34,35,96.01991699,86.93576124,452.75829187,1374.49151102,76.42837638
35,36,88.46493977,65.61089832,954.34153199,9896.53179916,127.20541786
36,37,72.20507172,82.47091453,435.78227944,5064.31075366,100.97753941
37,38,317.84393289999997,237.7533943,239.59189262,1092.81145455,190.28063966
38,39,315.2917635,75.12917367,311.90527229,1392.45147797,61.34383792
39,40,668.5831702,4389.222534,90.95152935,4400.35427282,1653.82344177
40,41,142.9629985,182.149323,394.86344881,8530.92646176,802.91030897
41,42,5956.0003990000005,7082.633389,374.54739224,1370.33339524,2857.45484465
42,43,954.6429356000001,3758.633912,183.93288101,3996.99043514,18.19006193
43,44,2991.3774719999997,3460.835193,131.64138465,4921.00539497,3365.94030507
44,45,202.6624413,11942.87115,403.02190555,1477.84700465,24.46291825
45,46,256.5597497,3915.8524380000003,683.5790675,7918.97956045,632.26575809
